Inicio: 2025-08-18 08:00:00; Duracion: 1440 min
2025-08-18,08:18:46, Unidad: C°,S1: 12.81, S2: 12.88, S3: 12.81, S4: 13.00, S5: 13.13, S6: 13.25, S7: 13.44, S8: 13.25, S9: 12.81, S10: 13.31, S11: 12.56, S12: 12.88, S13: 12.75, S14: 13.06, S15: 13.00, S16: 13.00, S17: 12.75, S18: 13.00, S19: 13.00.
2025-08-18,08:19:46, Unidad: C°,S1: 12.88, S2: 12.81, S3: 12.81, S4: 13.06, S5: 13.19, S6: 13.25, S7: 13.44, S8: 13.25, S9: 12.81, S10: 13.25, S11: 12.56, S12: 12.88, S13: 12.75, S14: 13.06, S15: 13.00, S16: 13.00, S17: 12.75, S18: 12.94, S19: 13.00.
2025-08-18,08:20:46, Unidad: C°,S1: 12.88, S2: 12.81, S3: 12.81, S4: 13.00, S5: 13.13, S6: 13.19, S7: 13.44, S8: 13.25, S9: 12.81, S10: 13.25, S11: 12.56, S12: 12.88, S13: 12.75, S14: 13.06, S15: 13.00, S16: 13.00, S17: 12.75, S18: 12.94, S19: 13.00.
2025-08-18,08:21:46, Unidad: C°,S1: 12.88, S2: 12.81, S3: 12.81, S4: 13.06, S5: 13.19, S6: 13.19, S7: 13.44, S8: 13.25, S9: 12.81, S10: 13.13, S11: 12.56, S12: 12.88, S13: 12.75, S14: 13.06, S15: 13.00, S16: 13.00, S17: 12.75, S18: 12.94, S19: 13.00.
2025-08-18,08:22:46, Unidad: C°,S1: 12.88, S2: 12.75, S3: 12.81, S4: 13.06, S5: 13.13, S6: 13.19, S7: 13.44, S8: 13.25, S9: 12.81, S10: 13.19, S11: 12.56, S12: 12.88, S13: 12.75, S14: 13.06, S15: 13.00, S16: 13.00, S17: 12.75, S18: 12.94, S19: 13.00.
2025-08-18,08:23:46, Unidad: C°,S1: 12.88, S2: 12.81, S3: 12.81, S4: 13.06, S5: 13.19, S6: 13.25, S7: 13.44, S8: 13.25, S9: 12.81, S10: 13.25, S11: 12.56, S12: 12.94, S13: 12.75, S14: 13.06, S15: 13.00, S16: 13.00, S17: 12.75, S18: 12.94, S19: 13.00.
2025-08-18,08:24:46, Unidad: C°,S1: 12.81, S2: 12.81, S3: 12.81, S4: 13.06, S5: 13.19, S6: 13.19, S7: 13.44, S8: 13.19, S9: 12.81, S10: 13.25, S11: 12.56, S12: 12.88, S13: 12.75, S14: 13.06, S15: 13.00, S16: 13.00, S17: 12.75, S18: 12.94, S19: 13.00.
2025-08-18,08:25:46, Unidad: C°,S1: 12.88, S2: 12.81, S3: 12.81, S4: 13.00, S5: 13.13, S6: 13.19, S7: 13.44, S8: 13.25, S9: 12.81, S10: 13.25, S11: 12.56, S12: 12.88, S13: 12.69, S14: 13.00, S15: 13.00, S16: 13.00, S17: 12.75, S18: 12.94, S19: 13.00.
2025-08-18,08:26:46, Unidad: C°,S1: 12.88, S2: 12.81, S3: 12.81, S4: 13.06, S5: 13.13, S6: 13.25, S7: 13.44, S8: 13.25, S9: 12.81, S10: 13.25, S11: 12.56, S12: 12.88, S13: 12.75, S14: 13.06, S15: 13.00, S16: 13.00, S17: 12.75, S18: 12.94, S19: 13.00.
2025-08-18,08:27:46, Unidad: C°,S1: 12.88, S2: 12.81, S3: 12.81, S4: 13.06, S5: 13.13, S6: 13.19, S7: 13.44, S8: 13.25, S9: 12.81, S10: 13.25, S11: 12.56, S12: 12.94, S13: 12.75, S14: 13.06, S15: 13.00, S16: 13.00, S17: 12.75, S18: 12.94, S19: 13.00.
2025-08-18,08:28:46, Unidad: C°,S1: 12.88, S2: 12.81, S3: 12.81, S4: 13.06, S5: 13.13, S6: 13.19, S7: 13.44, S8: 13.25, S9: 12.81, S10: 13.25, S11: 12.56, S12: 12.88, S13: 12.75, S14: 13.06, S15: 13.00, S16: 13.00, S17: 12.75, S18: 12.94, S19: 13.00.
2025-08-18,08:29:46, Unidad: C°,S1: 12.88, S2: 12.81, S3: 12.81, S4: 13.06, S5: 13.13, S6: 13.19, S7: 13.44, S8: 13.25, S9: 12.81, S10: 13.25, S11: 12.56, S12: 12.88, S13: 12.75, S14: 13.00, S15: 13.00, S16: 12.94, S17: 12.75, S18: 12.94, S19: 13.00.
2025-08-18,08:30:46, Unidad: C°,S1: 12.88, S2: 12.75, S3: 12.81, S4: 13.06, S5: 13.13, S6: 13.19, S7: 13.44, S8: 13.25, S9: 12.81, S10: 13.25, S11: 12.56, S12: 12.88, S13: 12.69, S14: 13.00, S15: 13.00, S16: 13.00, S17: 12.75, S18: 12.94, S19: 13.00.
2025-08-18,08:31:46, Unidad: C°,S1: 12.94, S2: 12.81, S3: 12.81, S4: 13.06, S5: 13.19, S6: 13.19, S7: 13.44, S8: 13.25, S9: 12.81, S10: 13.06, S11: 12.56, S12: 12.88, S13: 12.69, S14: 13.00, S15: 13.00, S16: 13.00, S17: 12.75, S18: 12.94, S19: 13.00.
2025-08-18,08:32:46, Unidad: C°,S1: 12.88, S2: 12.81, S3: 12.81, S4: 13.06, S5: 13.13, S6: 13.19, S7: 13.44, S8: 13.25, S9: 12.81, S10: 13.19, S11: 12.56, S12: 12.88, S13: 12.69, S14: 13.06, S15: 13.00, S16: 13.00, S17: 12.75, S18: 12.94, S19: 13.00.
2025-08-18,08:33:46, Unidad: C°,S1: 12.81, S2: 12.81, S3: 12.81, S4: 13.06, S5: 13.13, S6: 13.25, S7: 13.44, S8: 13.19, S9: 12.81, S10: 13.25, S11: 12.56, S12: 12.88, S13: 12.75, S14: 13.00, S15: 13.00, S16: 13.00, S17: 12.75, S18: 12.94, S19: 13.00.
2025-08-18,08:34:46, Unidad: C°,S1: 12.94, S2: 12.81, S3: 12.81, S4: 13.13, S5: 13.13, S6: 13.19, S7: 13.44, S8: 13.25, S9: 12.81, S10: 13.25, S11: 12.56, S12: 12.88, S13: 12.75, S14: 13.06, S15: 13.00, S16: 13.00, S17: 12.75, S18: 12.94, S19: 13.00.
2025-08-18,08:35:46, Unidad: C°,S1: 12.94, S2: 12.81, S3: 12.81, S4: 13.06, S5: 13.13, S6: 13.19, S7: 13.50, S8: 13.25, S9: 12.81, S10: 13.25, S11: 12.56, S12: 12.88, S13: 12.69, S14: 13.06, S15: 13.00, S16: 13.00, S17: 12.75, S18: 12.94, S19: 13.00.
2025-08-18,08:36:46, Unidad: C°,S1: 12.88, S2: 12.81, S3: 12.81, S4: 13.06, S5: 13.13, S6: 13.25, S7: 13.44, S8: 13.25, S9: 12.81, S10: 13.25, S11: 12.50, S12: 12.88, S13: 12.69, S14: 13.00, S15: 13.00, S16: 12.94, S17: 12.75, S18: 12.94, S19: 13.00.
2025-08-18,08:37:46, Unidad: C°,S1: 12.88, S2: 12.81, S3: 12.81, S4: 13.13, S5: 13.13, S6: 13.19, S7: 13.44, S8: 13.25, S9: 12.81, S10: 13.19, S11: 12.56, S12: 12.88, S13: 12.69, S14: 13.00, S15: 13.00, S16: 13.00, S17: 12.75, S18: 12.94, S19: 13.00.
2025-08-18,08:38:46, Unidad: C°,S1: 12.94, S2: 12.75, S3: 12.81, S4: 13.06, S5: 13.06, S6: 13.25, S7: 13.44, S8: 13.19, S9: 12.81, S10: 13.19, S11: 12.50, S12: 12.88, S13: 12.75, S14: 13.00, S15: 13.00, S16: 13.00, S17: 12.75, S18: 12.94, S19: 13.00.
2025-08-18,08:39:46, Unidad: C°,S1: 12.81, S2: 12.75, S3: 12.81, S4: 13.13, S5: 13.06, S6: 13.25, S7: 13.44, S8: 13.19, S9: 12.81, S10: 13.19, S11: 12.56, S12: 12.88, S13: 12.75, S14: 13.00, S15: 13.00, S16: 12.94, S17: 12.75, S18: 12.94, S19: 13.00.
2025-08-18,08:40:46, Unidad: C°,S1: 12.88, S2: 12.81, S3: 12.81, S4: 13.06, S5: 13.13, S6: 13.25, S7: 13.44, S8: 13.19, S9: 12.81, S10: 13.25, S11: 12.56, S12: 12.88, S13: 12.75, S14: 13.00, S15: 13.00, S16: 13.00, S17: 12.75, S18: 12.94, S19: 13.00.
2025-08-18,08:41:46, Unidad: C°,S1: 12.88, S2: 12.81, S3: 12.81, S4: 13.13, S5: 13.06, S6: 13.31, S7: 13.44, S8: 13.19, S9: 12.75, S10: 13.06, S11: 12.56, S12: 12.88, S13: 12.69, S14: 13.06, S15: 13.00, S16: 13.00, S17: 12.75, S18: 12.94, S19: 13.00.
2025-08-18,08:42:46, Unidad: C°,S1: 12.81, S2: 12.81, S3: 12.81, S4: 13.06, S5: 13.06, S6: 13.31, S7: 13.44, S8: 13.19, S9: 12.75, S10: 13.19, S11: 12.50, S12: 12.88, S13: 12.69, S14: 13.00, S15: 13.00, S16: 13.00, S17: 12.75, S18: 12.94, S19: 13.00.
