Inicio: 2025-08-11 08:00:00; Duracion: 1440 min
2025-08-11,13:01:49, Unidad: C°,S1: 19.06, S2: 18.94, S3: 18.94, S4: 19.00, S5: 23.00, S6: 18.13, S7: 18.25, S8: 18.31, S9: 18.19, S10: 18.06, S11: 18.56, S12: 18.63, S13: 20.75, S14: 19.81, S15: 19.69, S16: 21.56, S17: 19.38, S18: 19.25, S19: 19.25, S20: 22.81.
2025-08-11,13:02:49, Unidad: C°,S1: 19.00, S2: 18.88, S3: 18.88, S4: 18.94, S5: 23.13, S6: 18.13, S7: 18.25, S8: 18.38, S9: 18.31, S10: 18.06, S11: 18.63, S12: 18.63, S13: 20.50, S14: 19.75, S15: 19.63, S16: 21.06, S17: 19.38, S18: 19.25, S19: 19.25, S20: 21.88.
2025-08-11,13:03:49, Unidad: C°,S1: 19.13, S2: 18.81, S3: 18.88, S4: 18.94, S5: 23.13, S6: 18.13, S7: 18.25, S8: 18.38, S9: 18.31, S10: 18.13, S11: 18.63, S12: 18.63, S13: 20.38, S14: 19.69, S15: 19.63, S16: 20.69, S17: 19.38, S18: 19.19, S19: 19.25, S20: 21.31.
2025-08-11,13:04:49, Unidad: C°,S1: 19.00, S2: 18.75, S3: 18.81, S4: 18.94, S5: 23.13, S6: 18.13, S7: 18.25, S8: 18.38, S9: 18.31, S10: 18.19, S11: 18.63, S12: 18.63, S13: 20.19, S14: 19.69, S15: 19.56, S16: 20.38, S17: 19.31, S18: 19.19, S19: 19.31, S20: 20.81.
2025-08-11,13:05:49, Unidad: C°,S1: 19.00, S2: 18.75, S3: 18.81, S4: 18.94, S5: 23.00, S6: 18.25, S7: 18.31, S8: 18.44, S9: 18.31, S10: 18.19, S11: 18.56, S12: 18.63, S13: 20.06, S14: 19.63, S15: 19.50, S16: 20.13, S17: 19.31, S18: 19.19, S19: 19.25, S20: 20.44.
2025-08-11,13:06:49, Unidad: C°,S1: 18.94, S2: 18.75, S3: 18.75, S4: 18.88, S5: 23.06, S6: 18.25, S7: 18.38, S8: 18.44, S9: 18.31, S10: 18.19, S11: 18.63, S12: 18.63, S13: 19.94, S14: 19.56, S15: 19.50, S16: 19.94, S17: 19.31, S18: 19.19, S19: 19.25, S20: 20.19.
2025-08-11,13:07:49, Unidad: C°,S1: 18.94, S2: 18.75, S3: 18.75, S4: 18.94, S5: 23.13, S6: 18.19, S7: 18.31, S8: 18.44, S9: 18.38, S10: 18.13, S11: 18.63, S12: 18.63, S13: 19.81, S14: 19.50, S15: 19.50, S16: 19.81, S17: 19.31, S18: 19.19, S19: 19.25, S20: 19.94.
2025-08-11,13:08:49, Unidad: C°,S1: 18.81, S2: 18.69, S3: 18.75, S4: 18.88, S5: 23.06, S6: 18.19, S7: 18.31, S8: 18.44, S9: 18.38, S10: 18.19, S11: 18.63, S12: 18.69, S13: 19.69, S14: 19.44, S15: 19.44, S16: 19.69, S17: 19.25, S18: 19.19, S19: 19.25, S20: 19.81.
2025-08-11,13:09:49, Unidad: C°,S1: 18.88, S2: 18.69, S3: 18.69, S4: 18.88, S5: 23.06, S6: 18.19, S7: 18.31, S8: 18.44, S9: 18.31, S10: 18.19, S11: 18.63, S12: 18.69, S13: 19.63, S14: 19.44, S15: 19.44, S16: 19.63, S17: 19.25, S18: 19.13, S19: 19.25, S20: 19.69.
2025-08-11,13:10:49, Unidad: C°,S1: 18.88, S2: 18.63, S3: 18.63, S4: 18.88, S5: 23.13, S6: 18.25, S7: 18.38, S8: 18.50, S9: 18.38, S10: 18.19, S11: 18.56, S12: 18.69, S13: 19.63, S14: 19.44, S15: 19.44, S16: 19.63, S17: 19.25, S18: 19.19, S19: 19.25, S20: 19.63.
2025-08-11,13:11:49, Unidad: C°,S1: 18.88, S2: 18.63, S3: 18.69, S4: 18.88, S5: 23.13, S6: 18.25, S7: 18.38, S8: 18.56, S9: 18.38, S10: 18.19, S11: 18.56, S12: 18.69, S13: 19.56, S14: 19.38, S15: 19.44, S16: 19.56, S17: 19.25, S18: 19.19, S19: 19.25, S20: 19.56.
2025-08-11,13:12:49, Unidad: C°,S1: 18.81, S2: 18.69, S3: 18.69, S4: 18.81, S5: 23.06, S6: 18.19, S7: 18.38, S8: 18.56, S9: 18.44, S10: 18.19, S11: 18.56, S12: 18.69, S13: 19.56, S14: 19.38, S15: 19.44, S16: 19.50, S17: 19.25, S18: 19.13, S19: 19.25, S20: 19.50.
2025-08-11,13:13:49, Unidad: C°,S1: 18.88, S2: 18.63, S3: 18.69, S4: 18.88, S5: 23.06, S6: 18.25, S7: 18.38, S8: 18.50, S9: 18.44, S10: 18.31, S11: 18.63, S12: 18.69, S13: 19.50, S14: 19.31, S15: 19.44, S16: 19.44, S17: 19.25, S18: 19.13, S19: 19.19, S20: 19.38.
2025-08-11,13:14:49, Unidad: C°,S1: 18.81, S2: 18.63, S3: 18.69, S4: 18.81, S5: 23.06, S6: 18.25, S7: 18.44, S8: 18.50, S9: 18.44, S10: 18.25, S11: 18.69, S12: 18.63, S13: 19.38, S14: 19.25, S15: 19.38, S16: 19.38, S17: 19.25, S18: 19.06, S19: 19.13, S20: 19.31.
2025-08-11,13:15:49, Unidad: C°,S1: 18.88, S2: 18.63, S3: 18.56, S4: 18.88, S5: 23.06, S6: 18.25, S7: 18.38, S8: 18.50, S9: 18.38, S10: 18.19, S11: 18.63, S12: 18.63, S13: 19.38, S14: 19.19, S15: 19.31, S16: 19.31, S17: 19.19, S18: 19.06, S19: 19.13, S20: 19.31.
2025-08-11,13:16:49, Unidad: C°,S1: 18.69, S2: 18.63, S3: 18.56, S4: 18.81, S5: 23.06, S6: 18.25, S7: 18.38, S8: 18.44, S9: 18.38, S10: 18.19, S11: 18.63, S12: 18.63, S13: 19.31, S14: 19.19, S15: 19.31, S16: 19.31, S17: 19.19, S18: 19.06, S19: 19.13, S20: 19.25.
2025-08-11,13:17:49, Unidad: C°,S1: 18.75, S2: 18.56, S3: 18.56, S4: 18.81, S5: 23.06, S6: 18.25, S7: 18.38, S8: 18.44, S9: 18.38, S10: 18.25, S11: 18.63, S12: 18.69, S13: 19.31, S14: 19.19, S15: 19.31, S16: 19.31, S17: 19.19, S18: 19.06, S19: 19.13, S20: 19.25.
2025-08-11,13:18:49, Unidad: C°,S1: 18.81, S2: 18.56, S3: 18.56, S4: 18.88, S5: 23.06, S6: 18.25, S7: 18.38, S8: 18.50, S9: 18.44, S10: 18.25, S11: 18.44, S12: 18.69, S13: 19.31, S14: 19.19, S15: 19.31, S16: 19.38, S17: 19.19, S18: 19.06, S19: 19.13, S20: 19.25.
2025-08-11,13:19:49, Unidad: C°,S1: 18.75, S2: 18.56, S3: 18.56, S4: 18.81, S5: 23.06, S6: 18.25, S7: 18.31, S8: 18.44, S9: 18.44, S10: 18.31, S11: 18.50, S12: 18.69, S13: 19.31, S14: 19.19, S15: 19.38, S16: 19.38, S17: 19.19, S18: 19.06, S19: 19.13, S20: 19.25.
2025-08-11,13:20:28, Unidad: C°,S1: 18.75, S2: 18.56, S3: 18.50, S4: 18.81, S5: 23.13, S6: 18.25, S7: 18.31, S8: 18.50, S9: 18.44, S10: 18.25, S11: 18.56, S12: 18.69, S13: 19.31, S14: 19.19, S15: 19.38, S16: 19.38, S17: 19.25, S18: 19.06, S19: 19.19, S20: 19.25.
2025-08-11,13:20:33, Unidad: C°,S1: 18.75, S2: 18.63, S3: 18.56, S4: 18.81, S5: 23.13, S6: 18.25, S7: 18.38, S8: 18.44, S9: 18.38, S10: 18.25, S11: 18.63, S12: 18.69, S13: 19.31, S14: 19.19, S15: 19.38, S16: 19.38, S17: 19.25, S18: 19.06, S19: 19.19, S20: 19.25.
2025-08-11,13:20:38, Unidad: C°,S1: 18.75, S2: 18.63, S3: 18.56, S4: 18.81, S5: 23.13, S6: 18.25, S7: 18.38, S8: 18.50, S9: 18.38, S10: 18.25, S11: 18.63, S12: 18.75, S13: 19.31, S14: 19.19, S15: 19.38, S16: 19.38, S17: 19.25, S18: 19.06, S19: 19.19, S20: 19.25.
2025-08-11,13:20:43, Unidad: C°,S1: 18.75, S2: 18.63, S3: 18.56, S4: 18.81, S5: 23.06, S6: 18.25, S7: 18.38, S8: 18.50, S9: 18.38, S10: 18.25, S11: 18.69, S12: 18.75, S13: 19.31, S14: 19.25, S15: 19.38, S16: 19.38, S17: 19.25, S18: 19.06, S19: 19.19, S20: 19.25.
2025-08-11,13:20:48, Unidad: C°,S1: 18.75, S2: 18.63, S3: 18.56, S4: 18.75, S5: 23.13, S6: 18.25, S7: 18.38, S8: 18.50, S9: 18.38, S10: 18.25, S11: 18.63, S12: 18.75, S13: 19.31, S14: 19.25, S15: 19.38, S16: 19.38, S17: 19.25, S18: 19.13, S19: 19.19, S20: 19.25.
2025-08-11,13:20:53, Unidad: C°,S1: 18.81, S2: 18.63, S3: 18.56, S4: 18.81, S5: 23.13, S6: 18.25, S7: 18.38, S8: 18.50, S9: 18.44, S10: 18.31, S11: 18.56, S12: 18.75, S13: 19.31, S14: 19.25, S15: 19.38, S16: 19.38, S17: 19.25, S18: 19.06, S19: 19.19, S20: 19.25.
2025-08-11,13:20:58, Unidad: C°,S1: 18.75, S2: 18.63, S3: 18.63, S4: 18.81, S5: 23.13, S6: 18.25, S7: 18.38, S8: 18.56, S9: 18.44, S10: 18.25, S11: 18.56, S12: 18.75, S13: 19.31, S14: 19.25, S15: 19.38, S16: 19.38, S17: 19.25, S18: 19.06, S19: 19.19, S20: 19.25.
2025-08-11,13:21:03, Unidad: C°,S1: 18.75, S2: 18.56, S3: 18.56, S4: 18.81, S5: 23.19, S6: 18.25, S7: 18.38, S8: 18.50, S9: 18.38, S10: 18.19, S11: 18.69, S12: 18.75, S13: 19.38, S14: 19.25, S15: 19.38, S16: 19.38, S17: 19.25, S18: 19.13, S19: 19.19, S20: 19.25.
2025-08-11,13:21:08, Unidad: C°,S1: 18.81, S2: 18.63, S3: 18.56, S4: 18.75, S5: 23.13, S6: 18.31, S7: 18.38, S8: 18.50, S9: 18.38, S10: 18.25, S11: 18.69, S12: 18.75, S13: 19.31, S14: 19.25, S15: 19.38, S16: 19.38, S17: 19.25, S18: 19.13, S19: 19.19, S20: 19.25.
2025-08-11,13:21:13, Unidad: C°,S1: 18.75, S2: 18.63, S3: 18.56, S4: 18.81, S5: 23.13, S6: 18.25, S7: 18.38, S8: 18.50, S9: 18.44, S10: 18.31, S11: 18.69, S12: 18.75, S13: 19.31, S14: 19.25, S15: 19.38, S16: 19.38, S17: 19.25, S18: 19.13, S19: 19.19, S20: 19.25.
2025-08-11,13:21:18, Unidad: C°,S1: 18.81, S2: 18.63, S3: 18.56, S4: 18.81, S5: 23.13, S6: 18.25, S7: 18.31, S8: 18.50, S9: 18.38, S10: 18.25, S11: 18.69, S12: 18.75, S13: 19.31, S14: 19.25, S15: 19.38, S16: 19.38, S17: 19.25, S18: 19.13, S19: 19.19, S20: 19.25.
2025-08-11,13:21:23, Unidad: C°,S1: 18.81, S2: 18.63, S3: 18.56, S4: 18.81, S5: 23.13, S6: 18.31, S7: 18.38, S8: 18.50, S9: 18.44, S10: 18.38, S11: 18.69, S12: 18.75, S13: 19.31, S14: 19.25, S15: 19.38, S16: 19.44, S17: 19.25, S18: 19.13, S19: 19.19, S20: 19.25.
2025-08-11,13:21:28, Unidad: C°,S1: 18.81, S2: 18.63, S3: 18.50, S4: 18.81, S5: 23.13, S6: 18.25, S7: 18.38, S8: 18.50, S9: 18.38, S10: 18.31, S11: 18.63, S12: 18.75, S13: 19.31, S14: 19.25, S15: 19.38, S16: 19.44, S17: 19.25, S18: 19.13, S19: 19.19, S20: 19.25.
2025-08-11,13:21:33, Unidad: C°,S1: 18.75, S2: 18.63, S3: 18.56, S4: 18.81, S5: 23.13, S6: 18.25, S7: 18.38, S8: 18.56, S9: 18.44, S10: 18.31, S11: 18.69, S12: 18.75, S13: 19.31, S14: 19.25, S15: 19.44, S16: 19.44, S17: 19.25, S18: 19.13, S19: 19.19, S20: 19.25.
2025-08-11,13:21:38, Unidad: C°,S1: 18.81, S2: 18.63, S3: 18.50, S4: 18.81, S5: 23.13, S6: 18.25, S7: 18.38, S8: 18.50, S9: 18.38, S10: 18.31, S11: 18.50, S12: 18.75, S13: 19.31, S14: 19.25, S15: 19.38, S16: 19.44, S17: 19.25, S18: 19.13, S19: 19.19, S20: 19.25.
2025-08-11,13:21:43, Unidad: C°,S1: 18.81, S2: 18.63, S3: 18.56, S4: 18.81, S5: 23.13, S6: 18.25, S7: 18.38, S8: 18.50, S9: 18.38, S10: 18.31, S11: 18.56, S12: 18.75, S13: 19.31, S14: 19.25, S15: 19.38, S16: 19.44, S17: 19.25, S18: 19.13, S19: 19.19, S20: 19.25.
2025-08-11,13:21:48, Unidad: C°,S1: 18.81, S2: 18.69, S3: 18.63, S4: 18.81, S5: 23.13, S6: 18.25, S7: 18.38, S8: 18.44, S9: 18.44, S10: 18.31, S11: 18.56, S12: 18.75, S13: 19.31, S14: 19.25, S15: 19.44, S16: 19.44, S17: 19.25, S18: 19.13, S19: 19.19, S20: 19.25.
2025-08-11,13:21:53, Unidad: C°,S1: 18.81, S2: 18.63, S3: 18.56, S4: 18.81, S5: 23.19, S6: 18.31, S7: 18.38, S8: 18.50, S9: 18.44, S10: 18.25, S11: 18.69, S12: 18.75, S13: 19.31, S14: 19.25, S15: 19.44, S16: 19.44, S17: 19.25, S18: 19.13, S19: 19.19, S20: 19.25.
2025-08-11,13:21:58, Unidad: C°,S1: 18.75, S2: 18.63, S3: 18.56, S4: 18.81, S5: 23.13, S6: 18.31, S7: 18.38, S8: 18.50, S9: 18.44, S10: 18.25, S11: 18.56, S12: 18.75, S13: 19.31, S14: 19.25, S15: 19.38, S16: 19.44, S17: 19.25, S18: 19.13, S19: 19.19, S20: 19.25.
2025-08-11,13:22:03, Unidad: C°,S1: 18.81, S2: 18.63, S3: 18.56, S4: 18.81, S5: 23.19, S6: 18.31, S7: 18.38, S8: 18.50, S9: 18.44, S10: 18.25, S11: 18.63, S12: 18.75, S13: 19.31, S14: 19.25, S15: 19.44, S16: 19.44, S17: 19.25, S18: 19.13, S19: 19.19, S20: 19.25.
2025-08-11,13:22:08, Unidad: C°,S1: 18.81, S2: 18.69, S3: 18.56, S4: 18.81, S5: 23.13, S6: 18.31, S7: 18.38, S8: 18.50, S9: 18.50, S10: 18.31, S11: 18.63, S12: 18.75, S13: 19.31, S14: 19.25, S15: 19.44, S16: 19.44, S17: 19.25, S18: 19.13, S19: 19.19, S20: 19.25.
2025-08-11,13:22:13, Unidad: C°,S1: 18.81, S2: 18.63, S3: 18.63, S4: 18.81, S5: 23.19, S6: 18.25, S7: 18.38, S8: 18.50, S9: 18.44, S10: 18.31, S11: 18.69, S12: 18.75, S13: 19.31, S14: 19.25, S15: 19.44, S16: 19.44, S17: 19.25, S18: 19.13, S19: 19.19, S20: 19.25.
2025-08-11,13:22:18, Unidad: C°,S1: 18.81, S2: 18.63, S3: 18.56, S4: 18.88, S5: 23.13, S6: 18.31, S7: 18.44, S8: 18.50, S9: 18.44, S10: 18.25, S11: 18.56, S12: 18.75, S13: 19.31, S14: 19.25, S15: 19.44, S16: 19.44, S17: 19.25, S18: 19.13, S19: 19.19, S20: 19.25.
2025-08-11,13:22:23, Unidad: C°,S1: 18.81, S2: 18.63, S3: 18.63, S4: 18.81, S5: 23.13, S6: 18.25, S7: 18.38, S8: 18.50, S9: 18.44, S10: 18.31, S11: 18.69, S12: 18.75, S13: 19.31, S14: 19.25, S15: 19.44, S16: 19.44, S17: 19.25, S18: 19.13, S19: 19.19, S20: 19.25.
2025-08-11,13:22:28, Unidad: C°,S1: 18.81, S2: 18.63, S3: 18.56, S4: 18.81, S5: 23.19, S6: 18.25, S7: 18.38, S8: 18.50, S9: 18.44, S10: 18.38, S11: 18.50, S12: 18.75, S13: 19.31, S14: 19.25, S15: 19.44, S16: 19.44, S17: 19.25, S18: 19.13, S19: 19.19, S20: 19.25.
2025-08-11,13:22:33, Unidad: C°,S1: 18.81, S2: 18.63, S3: 18.56, S4: 18.88, S5: 23.19, S6: 18.25, S7: 18.44, S8: 18.50, S9: 18.44, S10: 18.31, S11: 18.63, S12: 18.75, S13: 19.31, S14: 19.25, S15: 19.44, S16: 19.44, S17: 19.25, S18: 19.13, S19: 19.19, S20: 19.25.
