#Inicio: 2025-08-20 08:00:00; Duracion: 1440 min
2025-08-20,08:18:22, Unidad: C°,S1: 1.94, S2: 2.50, S3: 1.88, S4: 2.50, S5: 1.94, S6: 1.88, S7: 2.69, S8: 2.75, S9: 2.25, S10: 2.88, S11: 2.19, S12: 2.44, S13: 2.25, S14: 2.56, S15: 2.31, S16: 2.31, S17: 2.06, S18: 2.25, S19: 2.06.
2025-08-20,08:19:22, Unidad: C°,S1: 1.94, S2: 2.44, S3: 1.94, S4: 2.56, S5: 1.88, S6: 1.88, S7: 2.69, S8: 2.81, S9: 2.19, S10: 2.81, S11: 2.19, S12: 2.44, S13: 2.25, S14: 2.56, S15: 2.38, S16: 2.31, S17: 2.06, S18: 2.25, S19: 2.13.
2025-08-20,08:20:22, Unidad: C°,S1: 1.88, S2: 2.50, S3: 1.94, S4: 2.56, S5: 1.94, S6: 1.88, S7: 2.69, S8: 2.75, S9: 2.25, S10: 2.81, S11: 2.19, S12: 2.50, S13: 2.25, S14: 2.56, S15: 2.31, S16: 2.31, S17: 2.06, S18: 2.31, S19: 2.13.
2025-08-20,08:21:22, Unidad: C°,S1: 1.94, S2: 2.50, S3: 1.94, S4: 2.63, S5: 1.94, S6: 1.94, S7: 2.69, S8: 2.81, S9: 2.25, S10: 2.88, S11: 2.19, S12: 2.50, S13: 2.25, S14: 2.56, S15: 2.38, S16: 2.31, S17: 2.06, S18: 2.31, S19: 2.13.
2025-08-20,08:22:22, Unidad: C°,S1: 1.94, S2: 2.50, S3: 1.94, S4: 2.56, S5: 1.94, S6: 1.94, S7: 2.69, S8: 2.81, S9: 2.25, S10: 2.88, S11: 2.19, S12: 2.50, S13: 2.25, S14: 2.56, S15: 2.38, S16: 2.31, S17: 2.06, S18: 2.31, S19: 2.13.
2025-08-20,08:23:22, Unidad: C°,S1: 1.94, S2: 2.50, S3: 2.06, S4: 2.56, S5: 1.94, S6: 1.94, S7: 2.69, S8: 2.81, S9: 2.19, S10: 2.81, S11: 2.19, S12: 2.50, S13: 2.25, S14: 2.56, S15: 2.38, S16: 2.31, S17: 2.06, S18: 2.31, S19: 2.13.
2025-08-20,08:24:22, Unidad: C°,S1: 2.00, S2: 2.50, S3: 2.00, S4: 2.63, S5: 1.94, S6: 1.88, S7: 2.75, S8: 2.81, S9: 2.25, S10: 2.75, S11: 2.19, S12: 2.50, S13: 2.31, S14: 2.63, S15: 2.38, S16: 2.31, S17: 2.06, S18: 2.31, S19: 2.13.
2025-08-20,08:25:22, Unidad: C°,S1: 2.06, S2: 2.50, S3: 2.00, S4: 2.63, S5: 1.94, S6: 1.88, S7: 2.75, S8: 2.81, S9: 2.25, S10: 2.88, S11: 2.19, S12: 2.50, S13: 2.31, S14: 2.63, S15: 2.38, S16: 2.31, S17: 2.13, S18: 2.31, S19: 2.13.
2025-08-20,08:26:22, Unidad: C°,S1: 2.06, S2: 2.56, S3: 2.00, S4: 2.63, S5: 2.00, S6: 1.88, S7: 2.75, S8: 2.81, S9: 2.25, S10: 2.88, S11: 2.19, S12: 2.50, S13: 2.31, S14: 2.63, S15: 2.38, S16: 2.38, S17: 2.13, S18: 2.31, S19: 2.13.
2025-08-20,08:27:22, Unidad: C°,S1: 2.06, S2: 2.50, S3: 2.06, S4: 2.63, S5: 2.00, S6: 1.94, S7: 2.75, S8: 2.81, S9: 2.25, S10: 2.88, S11: 2.25, S12: 2.50, S13: 2.31, S14: 2.63, S15: 2.38, S16: 2.38, S17: 2.13, S18: 2.38, S19: 2.19.
2025-08-20,08:28:22, Unidad: C°,S1: 2.06, S2: 2.56, S3: 2.00, S4: 2.63, S5: 2.00, S6: 2.00, S7: 2.75, S8: 2.88, S9: 2.31, S10: 2.81, S11: 2.25, S12: 2.50, S13: 2.31, S14: 2.63, S15: 2.38, S16: 2.38, S17: 2.13, S18: 2.31, S19: 2.19.
2025-08-20,08:29:22, Unidad: C°,S1: 2.00, S2: 2.56, S3: 2.00, S4: 2.69, S5: 1.94, S6: 1.94, S7: 2.75, S8: 2.88, S9: 2.25, S10: 2.88, S11: 2.25, S12: 2.50, S13: 2.31, S14: 2.63, S15: 2.44, S16: 2.38, S17: 2.13, S18: 2.38, S19: 2.19.
2025-08-20,08:30:22, Unidad: C°,S1: 2.06, S2: 2.56, S3: 2.00, S4: 2.63, S5: 2.00, S6: 2.00, S7: 2.75, S8: 2.88, S9: 2.25, S10: 2.88, S11: 2.25, S12: 2.56, S13: 2.31, S14: 2.63, S15: 2.38, S16: 2.38, S17: 2.13, S18: 2.38, S19: 2.19.
2025-08-20,08:31:22, Unidad: C°,S1: 2.06, S2: 2.56, S3: 2.00, S4: 2.63, S5: 2.00, S6: 1.94, S7: 2.69, S8: 2.88, S9: 2.31, S10: 2.94, S11: 2.25, S12: 2.56, S13: 2.31, S14: 2.63, S15: 2.44, S16: 2.38, S17: 2.13, S18: 2.38, S19: 2.19.
2025-08-20,08:32:22, Unidad: C°,S1: 2.13, S2: 2.56, S3: 2.06, S4: 2.69, S5: 2.00, S6: 2.06, S7: 2.75, S8: 2.88, S9: 2.31, S10: 2.94, S11: 2.25, S12: 2.56, S13: 2.31, S14: 2.63, S15: 2.44, S16: 2.38, S17: 2.13, S18: 2.38, S19: 2.19.
2025-08-20,08:33:22, Unidad: C°,S1: 2.06, S2: 2.56, S3: 2.00, S4: 2.69, S5: 2.00, S6: 2.00, S7: 2.75, S8: 2.88, S9: 2.25, S10: 2.94, S11: 2.25, S12: 2.56, S13: 2.31, S14: 2.63, S15: 2.44, S16: 2.38, S17: 2.13, S18: 2.38, S19: 2.19.
2025-08-20,08:34:22, Unidad: C°,S1: 2.00, S2: 2.63, S3: 2.06, S4: 2.69, S5: 2.06, S6: 1.94, S7: 2.75, S8: 2.94, S9: 2.31, S10: 2.94, S11: 2.25, S12: 2.56, S13: 2.38, S14: 2.63, S15: 2.44, S16: 2.38, S17: 2.13, S18: 2.38, S19: 2.19.
2025-08-20,08:35:22, Unidad: C°,S1: 2.06, S2: 2.56, S3: 2.06, S4: 2.69, S5: 2.06, S6: 2.00, S7: 2.81, S8: 2.94, S9: 2.31, S10: 2.94, S11: 2.25, S12: 2.56, S13: 2.38, S14: 2.63, S15: 2.44, S16: 2.44, S17: 2.13, S18: 2.38, S19: 2.19.
2025-08-20,08:36:22, Unidad: C°,S1: 2.06, S2: 2.63, S3: 2.06, S4: 2.69, S5: 2.06, S6: 2.00, S7: 2.75, S8: 2.94, S9: 2.31, S10: 3.00, S11: 2.31, S12: 2.56, S13: 2.38, S14: 2.69, S15: 2.44, S16: 2.44, S17: 2.19, S18: 2.38, S19: 2.25.
2025-08-20,08:37:22, Unidad: C°,S1: 2.00, S2: 2.63, S3: 2.06, S4: 2.69, S5: 2.06, S6: 2.00, S7: 2.81, S8: 2.88, S9: 2.38, S10: 2.94, S11: 2.31, S12: 2.56, S13: 2.38, S14: 2.69, S15: 2.44, S16: 2.44, S17: 2.19, S18: 2.38, S19: 2.25.
2025-08-20,08:38:22, Unidad: C°,S1: 2.13, S2: 2.63, S3: 2.06, S4: 2.69, S5: 2.06, S6: 2.06, S7: 2.81, S8: 2.94, S9: 2.38, S10: 3.00, S11: 2.31, S12: 2.56, S13: 2.38, S14: 2.69, S15: 2.44, S16: 2.44, S17: 2.19, S18: 2.44, S19: 2.25.
2025-08-20,08:39:22, Unidad: C°,S1: 2.13, S2: 2.63, S3: 2.13, S4: 2.69, S5: 2.06, S6: 2.06, S7: 2.81, S8: 2.88, S9: 2.38, S10: 2.94, S11: 2.31, S12: 2.56, S13: 2.38, S14: 2.69, S15: 2.44, S16: 2.44, S17: 2.19, S18: 2.44, S19: 2.25.
2025-08-20,08:40:22, Unidad: C°,S1: 2.06, S2: 2.56, S3: 2.13, S4: 2.75, S5: 2.06, S6: 2.00, S7: 2.81, S8: 2.88, S9: 2.31, S10: 3.00, S11: 2.31, S12: 2.63, S13: 2.38, S14: 2.69, S15: 2.50, S16: 2.44, S17: 2.19, S18: 2.44, S19: 2.25.
2025-08-20,08:41:22, Unidad: C°,S1: 2.00, S2: 2.56, S3: 2.13, S4: 2.75, S5: 2.06, S6: 2.06, S7: 2.81, S8: 2.94, S9: 2.44, S10: 3.00, S11: 2.31, S12: 2.63, S13: 2.38, S14: 2.69, S15: 2.50, S16: 2.44, S17: 2.19, S18: 2.44, S19: 2.25.
