Inicio: 2025-08-16 08:00:00; Duracion: 1440 min
2025-08-16,08:18:46, Unidad: C°,S1: 13.00, S2: 12.94, S3: 13.00, S4: 13.25, S5: 13.38, S6: 13.38, S7: 13.69, S8: 13.38, S9: 12.94, S10: 13.44, S11: 12.69, S12: 13.06, S13: 12.94, S14: 13.25, S15: 13.19, S16: 13.19, S17: 12.94, S18: 13.13, S19: 13.19.
2025-08-16,08:19:46, Unidad: C°,S1: 13.00, S2: 12.94, S3: 13.00, S4: 13.31, S5: 13.31, S6: 13.44, S7: 13.63, S8: 13.38, S9: 13.00, S10: 13.31, S11: 12.69, S12: 13.06, S13: 12.88, S14: 13.19, S15: 13.19, S16: 13.19, S17: 12.94, S18: 13.13, S19: 13.19.
2025-08-16,08:20:46, Unidad: C°,S1: 13.00, S2: 12.94, S3: 13.00, S4: 13.25, S5: 13.31, S6: 13.44, S7: 13.63, S8: 13.44, S9: 12.94, S10: 13.44, S11: 12.69, S12: 13.06, S13: 12.88, S14: 13.19, S15: 13.19, S16: 13.19, S17: 12.94, S18: 13.13, S19: 13.19.
2025-08-16,08:21:46, Unidad: C°,S1: 13.00, S2: 13.00, S3: 13.00, S4: 13.31, S5: 13.38, S6: 13.44, S7: 13.63, S8: 13.38, S9: 12.94, S10: 13.44, S11: 12.69, S12: 13.06, S13: 12.88, S14: 13.19, S15: 13.19, S16: 13.13, S17: 12.94, S18: 13.13, S19: 13.19.
2025-08-16,08:22:46, Unidad: C°,S1: 13.00, S2: 12.94, S3: 13.00, S4: 13.31, S5: 13.31, S6: 13.44, S7: 13.63, S8: 13.44, S9: 12.94, S10: 13.31, S11: 12.69, S12: 13.06, S13: 12.88, S14: 13.19, S15: 13.19, S16: 13.19, S17: 12.94, S18: 13.13, S19: 13.19.
2025-08-16,08:23:46, Unidad: C°,S1: 13.06, S2: 12.94, S3: 13.00, S4: 13.25, S5: 13.31, S6: 13.44, S7: 13.63, S8: 13.38, S9: 12.94, S10: 13.44, S11: 12.69, S12: 13.06, S13: 12.88, S14: 13.19, S15: 13.19, S16: 13.19, S17: 12.94, S18: 13.13, S19: 13.19.
2025-08-16,08:24:46, Unidad: C°,S1: 13.06, S2: 12.94, S3: 12.94, S4: 13.31, S5: 13.38, S6: 13.44, S7: 13.63, S8: 13.38, S9: 12.94, S10: 13.44, S11: 12.69, S12: 13.06, S13: 12.88, S14: 13.19, S15: 13.19, S16: 13.19, S17: 12.94, S18: 13.13, S19: 13.19.
2025-08-16,08:25:46, Unidad: C°,S1: 13.06, S2: 12.94, S3: 13.00, S4: 13.31, S5: 13.38, S6: 13.44, S7: 13.63, S8: 13.38, S9: 12.94, S10: 13.31, S11: 12.69, S12: 13.06, S13: 12.88, S14: 13.19, S15: 13.19, S16: 13.13, S17: 12.94, S18: 13.13, S19: 13.19.
2025-08-16,08:26:46, Unidad: C°,S1: 13.00, S2: 12.94, S3: 13.00, S4: 13.31, S5: 13.38, S6: 13.44, S7: 13.63, S8: 13.38, S9: 13.00, S10: 13.31, S11: 12.69, S12: 13.06, S13: 12.88, S14: 13.19, S15: 13.19, S16: 13.13, S17: 12.94, S18: 13.13, S19: 13.19.
2025-08-16,08:27:46, Unidad: C°,S1: 13.06, S2: 12.94, S3: 12.94, S4: 13.25, S5: 13.31, S6: 13.50, S7: 13.63, S8: 13.38, S9: 12.94, S10: 13.44, S11: 12.69, S12: 13.06, S13: 12.88, S14: 13.19, S15: 13.19, S16: 13.19, S17: 12.94, S18: 13.13, S19: 13.19.
2025-08-16,08:28:46, Unidad: C°,S1: 13.00, S2: 12.94, S3: 13.00, S4: 13.31, S5: 13.31, S6: 13.44, S7: 13.63, S8: 13.38, S9: 13.00, S10: 13.44, S11: 12.69, S12: 13.06, S13: 12.88, S14: 13.19, S15: 13.19, S16: 13.13, S17: 12.94, S18: 13.13, S19: 13.19.
2025-08-16,08:29:46, Unidad: C°,S1: 13.00, S2: 12.94, S3: 13.00, S4: 13.31, S5: 13.38, S6: 13.44, S7: 13.63, S8: 13.38, S9: 13.00, S10: 13.31, S11: 12.69, S12: 13.06, S13: 12.88, S14: 13.19, S15: 13.19, S16: 13.19, S17: 12.94, S18: 13.13, S19: 13.19.
2025-08-16,08:30:46, Unidad: C°,S1: 13.06, S2: 12.94, S3: 13.00, S4: 13.25, S5: 13.31, S6: 13.44, S7: 13.63, S8: 13.38, S9: 12.94, S10: 13.44, S11: 12.69, S12: 13.06, S13: 12.88, S14: 13.19, S15: 13.19, S16: 13.19, S17: 12.94, S18: 13.13, S19: 13.19.
2025-08-16,08:31:46, Unidad: C°,S1: 13.06, S2: 13.00, S3: 13.00, S4: 13.31, S5: 13.38, S6: 13.44, S7: 13.63, S8: 13.38, S9: 12.94, S10: 13.44, S11: 12.69, S12: 13.06, S13: 12.88, S14: 13.19, S15: 13.19, S16: 13.19, S17: 12.94, S18: 13.13, S19: 13.19.
2025-08-16,08:32:46, Unidad: C°,S1: 13.06, S2: 12.94, S3: 13.00, S4: 13.31, S5: 13.38, S6: 13.44, S7: 13.63, S8: 13.38, S9: 12.94, S10: 13.44, S11: 12.69, S12: 13.06, S13: 12.88, S14: 13.19, S15: 13.19, S16: 13.13, S17: 12.94, S18: 13.13, S19: 13.19.
2025-08-16,08:33:46, Unidad: C°,S1: 13.00, S2: 12.94, S3: 13.00, S4: 13.25, S5: 13.38, S6: 13.44, S7: 13.63, S8: 13.44, S9: 12.94, S10: 13.44, S11: 12.69, S12: 13.06, S13: 12.88, S14: 13.19, S15: 13.19, S16: 13.19, S17: 12.94, S18: 13.13, S19: 13.19.
2025-08-16,08:34:46, Unidad: C°,S1: 13.06, S2: 12.94, S3: 13.00, S4: 13.31, S5: 13.31, S6: 13.44, S7: 13.63, S8: 13.38, S9: 12.94, S10: 13.31, S11: 12.69, S12: 13.06, S13: 12.88, S14: 13.19, S15: 13.19, S16: 13.13, S17: 12.94, S18: 13.13, S19: 13.19.
2025-08-16,08:35:46, Unidad: C°,S1: 13.06, S2: 12.94, S3: 12.94, S4: 13.25, S5: 13.31, S6: 13.44, S7: 13.63, S8: 13.38, S9: 12.94, S10: 13.31, S11: 12.69, S12: 13.06, S13: 12.88, S14: 13.19, S15: 13.19, S16: 13.13, S17: 12.94, S18: 13.13, S19: 13.19.
2025-08-16,08:36:46, Unidad: C°,S1: 13.06, S2: 12.94, S3: 13.00, S4: 13.31, S5: 13.38, S6: 13.44, S7: 13.63, S8: 13.38, S9: 12.94, S10: 13.44, S11: 12.69, S12: 13.06, S13: 12.88, S14: 13.19, S15: 13.19, S16: 13.13, S17: 12.94, S18: 13.13, S19: 13.19.
2025-08-16,08:37:46, Unidad: C°,S1: 13.00, S2: 12.94, S3: 13.00, S4: 13.19, S5: 13.31, S6: 13.44, S7: 13.63, S8: 13.38, S9: 12.94, S10: 13.31, S11: 12.69, S12: 13.06, S13: 12.88, S14: 13.19, S15: 13.19, S16: 13.13, S17: 12.94, S18: 13.13, S19: 13.19.
2025-08-16,08:38:46, Unidad: C°,S1: 13.00, S2: 12.94, S3: 13.00, S4: 13.25, S5: 13.31, S6: 13.44, S7: 13.63, S8: 13.31, S9: 12.94, S10: 13.44, S11: 12.69, S12: 13.06, S13: 12.88, S14: 13.19, S15: 13.19, S16: 13.13, S17: 12.94, S18: 13.13, S19: 13.19.
2025-08-16,08:39:46, Unidad: C°,S1: 13.06, S2: 13.00, S3: 12.94, S4: 13.25, S5: 13.38, S6: 13.44, S7: 13.69, S8: 13.31, S9: 12.94, S10: 13.25, S11: 12.69, S12: 13.06, S13: 12.88, S14: 13.19, S15: 13.13, S16: 13.19, S17: 12.94, S18: 13.13, S19: 13.19.
2025-08-16,08:40:46, Unidad: C°,S1: 13.06, S2: 12.94, S3: 13.00, S4: 13.25, S5: 13.31, S6: 13.38, S7: 13.69, S8: 13.38, S9: 12.94, S10: 13.44, S11: 12.69, S12: 13.06, S13: 12.88, S14: 13.19, S15: 13.19, S16: 13.13, S17: 12.94, S18: 13.13, S19: 13.19.
2025-08-16,08:41:46, Unidad: C°,S1: 13.06, S2: 13.00, S3: 12.94, S4: 13.25, S5: 13.31, S6: 13.50, S7: 13.63, S8: 13.38, S9: 12.88, S10: 13.31, S11: 12.69, S12: 13.06, S13: 12.88, S14: 13.19, S15: 13.13, S16: 13.13, S17: 12.94, S18: 13.13, S19: 13.19.
2025-08-16,08:42:46, Unidad: C°,S1: 13.06, S2: 12.94, S3: 13.00, S4: 13.25, S5: 13.31, S6: 13.44, S7: 13.63, S8: 13.38, S9: 12.94, S10: 13.44, S11: 12.69, S12: 13.06, S13: 12.88, S14: 13.19, S15: 13.13, S16: 13.13, S17: 12.94, S18: 13.13, S19: 13.19.
