Inicio: 2025-08-12 08:00:00; Duracion: 1440 min
2025-08-12,08:17:05, Unidad: C°,S1: 15.31, S2: 15.31, S3: 15.25, S4: 15.63, S5: 16.94, S6: 15.44, S7: 15.44, S8: 15.69, S9: 15.56, S10: 15.25, S11: 15.50, S12: 15.19, S13: 15.38, S14: 15.38, S15: 15.50, S16: 15.31, S17: 15.31, S18: 15.25, S19: 15.31, S20: 15.25.
2025-08-12,08:18:05, Unidad: C°,S1: 15.38, S2: 15.31, S3: 15.31, S4: 15.69, S5: 16.94, S6: 15.44, S7: 15.44, S8: 15.63, S9: 15.69, S10: 15.31, S11: 15.56, S12: 15.19, S13: 15.38, S14: 15.38, S15: 15.50, S16: 15.31, S17: 15.31, S18: 15.25, S19: 15.31, S20: 15.25.
2025-08-12,08:19:05, Unidad: C°,S1: 15.31, S2: 15.31, S3: 15.31, S4: 15.69, S5: 16.94, S6: 15.44, S7: 15.38, S8: 15.63, S9: 15.63, S10: 15.38, S11: 15.56, S12: 15.19, S13: 15.44, S14: 15.38, S15: 15.56, S16: 15.31, S17: 15.38, S18: 15.25, S19: 15.31, S20: 15.25.
2025-08-12,08:20:05, Unidad: C°,S1: 15.31, S2: 15.38, S3: 15.31, S4: 15.63, S5: 17.00, S6: 15.44, S7: 15.44, S8: 15.69, S9: 15.63, S10: 15.31, S11: 15.56, S12: 15.19, S13: 15.38, S14: 15.38, S15: 15.50, S16: 15.38, S17: 15.38, S18: 15.25, S19: 15.31, S20: 15.25.
2025-08-12,08:21:05, Unidad: C°,S1: 15.38, S2: 15.31, S3: 15.31, S4: 15.69, S5: 16.94, S6: 15.50, S7: 15.44, S8: 15.69, S9: 15.63, S10: 15.31, S11: 15.56, S12: 15.19, S13: 15.44, S14: 15.38, S15: 15.56, S16: 15.38, S17: 15.38, S18: 15.25, S19: 15.31, S20: 15.31.
2025-08-12,08:22:05, Unidad: C°,S1: 15.38, S2: 15.31, S3: 15.38, S4: 15.69, S5: 17.00, S6: 15.44, S7: 15.50, S8: 15.63, S9: 15.69, S10: 15.38, S11: 15.63, S12: 15.19, S13: 15.44, S14: 15.38, S15: 15.56, S16: 15.38, S17: 15.38, S18: 15.31, S19: 15.38, S20: 15.31.
2025-08-12,08:23:05, Unidad: C°,S1: 15.31, S2: 15.31, S3: 15.38, S4: 15.63, S5: 16.94, S6: 15.50, S7: 15.44, S8: 15.69, S9: 15.63, S10: 15.31, S11: 15.56, S12: 15.19, S13: 15.44, S14: 15.44, S15: 15.56, S16: 15.38, S17: 15.38, S18: 15.31, S19: 15.38, S20: 15.31.
2025-08-12,08:24:05, Unidad: C°,S1: 15.38, S2: 15.31, S3: 15.38, S4: 15.63, S5: 17.00, S6: 15.44, S7: 15.50, S8: 15.69, S9: 15.63, S10: 15.38, S11: 15.50, S12: 15.25, S13: 15.44, S14: 15.44, S15: 15.56, S16: 15.38, S17: 15.38, S18: 15.31, S19: 15.38, S20: 15.31.
2025-08-12,08:25:05, Unidad: C°,S1: 15.38, S2: 15.31, S3: 15.38, S4: 15.75, S5: 17.00, S6: 15.50, S7: 15.50, S8: 15.69, S9: 15.69, S10: 15.31, S11: 15.63, S12: 15.25, S13: 15.44, S14: 15.44, S15: 15.56, S16: 15.38, S17: 15.38, S18: 15.31, S19: 15.38, S20: 15.31.
2025-08-12,08:26:05, Unidad: C°,S1: 15.38, S2: 15.31, S3: 15.38, S4: 15.69, S5: 17.00, S6: 15.50, S7: 15.50, S8: 15.69, S9: 15.63, S10: 15.31, S11: 15.44, S12: 15.25, S13: 15.44, S14: 15.44, S15: 15.56, S16: 15.38, S17: 15.38, S18: 15.31, S19: 15.38, S20: 15.31.
