# Inicio: 2025-09-15 08:00:00; Duracion: 1440 min
1757912459, Unidad: C°,S1: 17.94, S2: 17.88, S3: 17.94, S4: 18.25, S5: 18.00, S6: 18.06, S7: 18.25, S8: 18.19, S9: 17.94, S10: 18.13, S11: 17.75, S12: 18.06, S13: 17.94, S14: 18.06, S15: 17.94, S16: 17.88, S17: 17.81, S18: 17.88, S19: 17.88.
1757912519, Unidad: C°,S1: 17.94, S2: 17.88, S3: 18.00, S4: 18.19, S5: 18.00, S6: 18.06, S7: 18.25, S8: 18.25, S9: 17.94, S10: 18.00, S11: 17.75, S12: 18.06, S13: 17.94, S14: 18.06, S15: 17.94, S16: 17.88, S17: 17.81, S18: 17.88, S19: 17.88.
1757912579, Unidad: C°,S1: 17.88, S2: 17.88, S3: 17.94, S4: 18.25, S5: 18.00, S6: 18.13, S7: 18.19, S8: 18.25, S9: 17.94, S10: 18.19, S11: 17.75, S12: 18.00, S13: 17.88, S14: 18.06, S15: 17.94, S16: 17.88, S17: 17.81, S18: 17.94, S19: 17.88.
1757912639, Unidad: C°,S1: 17.81, S2: 17.88, S3: 17.94, S4: 18.19, S5: 18.00, S6: 18.13, S7: 18.25, S8: 18.19, S9: 17.94, S10: 18.13, S11: 17.75, S12: 18.00, S13: 17.88, S14: 18.06, S15: 17.94, S16: 17.88, S17: 17.81, S18: 17.88, S19: 17.88.
1757912699, Unidad: C°,S1: 17.94, S2: 17.88, S3: 17.94, S4: 18.19, S5: 18.06, S6: 18.06, S7: 18.25, S8: 18.25, S9: 17.94, S10: 18.19, S11: 17.75, S12: 18.00, S13: 17.94, S14: 18.06, S15: 17.88, S16: 17.88, S17: 17.81, S18: 17.88, S19: 17.88.
1757912759, Unidad: C°,S1: 17.94, S2: 17.88, S3: 17.94, S4: 18.19, S5: 18.00, S6: 18.06, S7: 18.25, S8: 18.25, S9: 17.88, S10: 18.13, S11: 17.75, S12: 18.00, S13: 17.88, S14: 18.06, S15: 17.94, S16: 17.88, S17: 17.81, S18: 17.88, S19: 17.88.
1757912819, Unidad: C°,S1: 17.94, S2: 17.88, S3: 18.00, S4: 18.19, S5: 18.06, S6: 18.06, S7: 18.25, S8: 18.19, S9: 17.94, S10: 18.13, S11: 17.75, S12: 18.00, S13: 17.88, S14: 18.06, S15: 17.94, S16: 17.88, S17: 17.81, S18: 17.88, S19: 17.88.
1757912879, Unidad: C°,S1: 17.94, S2: 17.88, S3: 18.00, S4: 18.19, S5: 18.00, S6: 18.06, S7: 18.25, S8: 18.25, S9: 17.94, S10: 18.13, S11: 17.75, S12: 18.06, S13: 17.88, S14: 18.06, S15: 17.94, S16: 17.88, S17: 17.81, S18: 17.88, S19: 17.88.
1757912939, Unidad: C°,S1: 17.88, S2: 17.88, S3: 18.00, S4: 18.19, S5: 18.00, S6: 18.06, S7: 18.19, S8: 18.19, S9: 17.94, S10: 18.13, S11: 17.75, S12: 18.00, S13: 17.94, S14: 18.06, S15: 17.94, S16: 17.88, S17: 17.81, S18: 17.88, S19: 17.88.
1757912999, Unidad: C°,S1: 17.94, S2: 17.94, S3: 17.94, S4: 18.13, S5: 18.00, S6: 18.06, S7: 18.25, S8: 18.25, S9: 17.94, S10: 18.13, S11: 17.75, S12: 18.00, S13: 17.94, S14: 18.06, S15: 17.94, S16: 17.88, S17: 17.81, S18: 17.88, S19: 17.88.
1757913059, Unidad: C°,S1: 17.88, S2: 17.94, S3: 17.94, S4: 18.19, S5: 18.00, S6: 18.06, S7: 18.25, S8: 18.25, S9: 17.94, S10: 18.13, S11: 17.75, S12: 18.00, S13: 17.88, S14: 18.06, S15: 17.94, S16: 17.88, S17: 17.81, S18: 17.88, S19: 17.88.
1757913119, Unidad: C°,S1: 17.94, S2: 17.81, S3: 17.94, S4: 18.19, S5: 18.06, S6: 18.06, S7: 18.19, S8: 18.19, S9: 17.94, S10: 18.00, S11: 17.75, S12: 18.00, S13: 17.88, S14: 18.06, S15: 17.94, S16: 17.88, S17: 17.81, S18: 17.88, S19: 17.88.
1757913179, Unidad: C°,S1: 17.94, S2: 17.88, S3: 17.94, S4: 18.19, S5: 18.00, S6: 18.06, S7: 18.19, S8: 18.19, S9: 17.94, S10: 18.19, S11: 17.75, S12: 18.00, S13: 17.88, S14: 18.06, S15: 17.94, S16: 17.88, S17: 17.81, S18: 17.88, S19: 17.88.
1757913239, Unidad: C°,S1: 17.94, S2: 17.88, S3: 17.94, S4: 18.19, S5: 18.00, S6: 18.06, S7: 18.19, S8: 18.19, S9: 17.94, S10: 18.13, S11: 17.75, S12: 18.00, S13: 17.94, S14: 18.06, S15: 17.94, S16: 17.88, S17: 17.81, S18: 17.88, S19: 17.88.
1757913299, Unidad: C°,S1: 17.81, S2: 17.88, S3: 17.94, S4: 18.13, S5: 18.00, S6: 18.06, S7: 18.25, S8: 18.19, S9: 17.94, S10: 18.00, S11: 17.75, S12: 18.00, S13: 17.88, S14: 18.06, S15: 17.94, S16: 17.88, S17: 17.81, S18: 17.88, S19: 17.88.
1757913359, Unidad: C°,S1: 17.88, S2: 17.88, S3: 17.94, S4: 18.19, S5: 17.94, S6: 18.06, S7: 18.25, S8: 18.25, S9: 17.94, S10: 18.00, S11: 17.75, S12: 18.00, S13: 17.88, S14: 18.06, S15: 17.94, S16: 17.88, S17: 17.81, S18: 17.88, S19: 17.88.
1757913419, Unidad: C°,S1: 17.94, S2: 17.88, S3: 18.00, S4: 18.19, S5: 18.00, S6: 18.06, S7: 18.25, S8: 18.19, S9: 17.94, S10: 18.13, S11: 17.75, S12: 18.00, S13: 17.88, S14: 18.06, S15: 17.94, S16: 17.88, S17: 17.81, S18: 17.88, S19: 17.88.
1757913479, Unidad: C°,S1: 17.88, S2: 17.88, S3: 18.00, S4: 18.19, S5: 18.00, S6: 18.06, S7: 18.25, S8: 18.19, S9: 17.94, S10: 18.06, S11: 17.75, S12: 18.00, S13: 17.88, S14: 18.06, S15: 17.94, S16: 17.88, S17: 17.81, S18: 17.88, S19: 17.88.
1757913539, Unidad: C°,S1: 17.88, S2: 17.88, S3: 17.94, S4: 18.19, S5: 18.00, S6: 18.06, S7: 18.25, S8: 18.19, S9: 17.88, S10: 18.06, S11: 17.75, S12: 18.00, S13: 17.88, S14: 18.06, S15: 17.94, S16: 17.88, S17: 17.81, S18: 17.88, S19: 17.88.
1757913599, Unidad: C°,S1: 17.94, S2: 17.88, S3: 18.00, S4: 18.25, S5: 18.00, S6: 18.06, S7: 18.25, S8: 18.19, S9: 17.88, S10: 18.13, S11: 17.75, S12: 18.00, S13: 17.94, S14: 18.06, S15: 17.94, S16: 17.88, S17: 17.81, S18: 17.88, S19: 17.88.
