# Inicio: 2025-09-21 08:00:00; Duracion: 1440 min
1758430859, Unidad: C°,S1: 17.63, S2: 17.69, S3: 17.81, S4: 18.00, S5: 17.88, S6: 17.88, S7: 18.00, S8: 17.94, S9: 17.75, S10: 17.81, S11: 17.56, S12: 17.81, S13: 17.69, S14: 17.88, S15: 17.75, S16: 17.69, S17: 17.63, S18: 17.69, S19: 17.69.
1758430919, Unidad: C°,S1: 17.69, S2: 17.69, S3: 17.75, S4: 18.00, S5: 17.88, S6: 17.88, S7: 18.06, S8: 17.94, S9: 17.69, S10: 18.00, S11: 17.56, S12: 17.81, S13: 17.69, S14: 17.88, S15: 17.75, S16: 17.69, S17: 17.63, S18: 17.69, S19: 17.69.
1758430979, Unidad: C°,S1: 17.69, S2: 17.69, S3: 17.75, S4: 18.00, S5: 17.88, S6: 17.88, S7: 18.06, S8: 18.00, S9: 17.75, S10: 17.88, S11: 17.56, S12: 17.81, S13: 17.69, S14: 17.88, S15: 17.75, S16: 17.69, S17: 17.63, S18: 17.69, S19: 17.69.
1758431039, Unidad: C°,S1: 17.69, S2: 17.69, S3: 17.81, S4: 18.00, S5: 17.88, S6: 17.88, S7: 18.00, S8: 17.94, S9: 17.69, S10: 17.94, S11: 17.56, S12: 17.81, S13: 17.69, S14: 17.88, S15: 17.75, S16: 17.69, S17: 17.63, S18: 17.69, S19: 17.63.
1758431099, Unidad: C°,S1: 17.69, S2: 17.69, S3: 17.75, S4: 17.94, S5: 17.81, S6: 17.88, S7: 18.00, S8: 17.94, S9: 17.75, S10: 17.81, S11: 17.56, S12: 17.81, S13: 17.75, S14: 17.88, S15: 17.75, S16: 17.69, S17: 17.63, S18: 17.69, S19: 17.63.
1758431159, Unidad: C°,S1: 17.75, S2: 17.69, S3: 17.75, S4: 18.00, S5: 17.81, S6: 17.88, S7: 18.06, S8: 18.00, S9: 17.75, S10: 17.94, S11: 17.56, S12: 17.81, S13: 17.69, S14: 17.88, S15: 17.75, S16: 17.69, S17: 17.63, S18: 17.69, S19: 17.69.
1758431219, Unidad: C°,S1: 17.69, S2: 17.69, S3: 17.75, S4: 17.94, S5: 17.81, S6: 17.88, S7: 18.00, S8: 17.94, S9: 17.69, S10: 17.94, S11: 17.56, S12: 17.81, S13: 17.69, S14: 17.88, S15: 17.69, S16: 17.69, S17: 17.63, S18: 17.69, S19: 17.69.
1758431279, Unidad: C°,S1: 17.75, S2: 17.69, S3: 17.75, S4: 17.94, S5: 17.88, S6: 17.88, S7: 18.00, S8: 18.00, S9: 17.75, S10: 17.81, S11: 17.56, S12: 17.81, S13: 17.69, S14: 17.88, S15: 17.75, S16: 17.69, S17: 17.63, S18: 17.69, S19: 17.69.
1758431339, Unidad: C°,S1: 17.69, S2: 17.69, S3: 17.75, S4: 17.94, S5: 17.81, S6: 17.88, S7: 18.06, S8: 18.00, S9: 17.75, S10: 17.94, S11: 17.56, S12: 17.81, S13: 17.69, S14: 17.88, S15: 17.75, S16: 17.69, S17: 17.63, S18: 17.69, S19: 17.69.
1758431399, Unidad: C°,S1: 17.63, S2: 17.63, S3: 17.75, S4: 17.94, S5: 17.81, S6: 17.88, S7: 18.00, S8: 18.00, S9: 17.69, S10: 17.88, S11: 17.56, S12: 17.81, S13: 17.69, S14: 17.88, S15: 17.69, S16: 17.69, S17: 17.63, S18: 17.69, S19: 17.69.
1758431459, Unidad: C°,S1: 17.69, S2: 17.69, S3: 17.75, S4: 17.94, S5: 17.81, S6: 17.88, S7: 18.06, S8: 18.00, S9: 17.75, S10: 18.00, S11: 17.56, S12: 17.81, S13: 17.69, S14: 17.88, S15: 17.75, S16: 17.69, S17: 17.63, S18: 17.69, S19: 17.69.
1758431519, Unidad: C°,S1: 17.69, S2: 17.69, S3: 17.75, S4: 18.00, S5: 17.75, S6: 17.81, S7: 18.00, S8: 18.00, S9: 17.75, S10: 17.94, S11: 17.56, S12: 17.81, S13: 17.69, S14: 17.88, S15: 17.75, S16: 17.69, S17: 17.63, S18: 17.69, S19: 17.69.
1758431579, Unidad: C°,S1: 17.63, S2: 17.69, S3: 17.75, S4: 18.00, S5: 17.81, S6: 17.94, S7: 18.06, S8: 18.00, S9: 17.69, S10: 17.88, S11: 17.56, S12: 17.81, S13: 17.69, S14: 17.88, S15: 17.75, S16: 17.69, S17: 17.63, S18: 17.69, S19: 17.69.
1758431639, Unidad: C°,S1: 17.69, S2: 17.69, S3: 17.69, S4: 17.94, S5: 17.81, S6: 17.88, S7: 18.00, S8: 17.94, S9: 17.69, S10: 17.75, S11: 17.56, S12: 17.81, S13: 17.69, S14: 17.81, S15: 17.75, S16: 17.69, S17: 17.63, S18: 17.69, S19: 17.69.
