# Inicio: 2025-09-12 08:00:00; Duracion: 1440 min
1757654399, Unidad: C°,S1: 0.63, S2: 0.13, S3: -0.06, S4: 0.56, S5: 0.56, S6: 0.44, S7: 0.44, S8: 0.38, S9: 0.50, S10: 0.38, S11: -0.25, S12: 0.94, S13: 0.75, S14: 0.13, S15: 0.00, S16: 0.06, S17: 0.69, S18: 0.00, S19: -0.06.
1757654459, Unidad: C°,S1: 0.69, S2: 0.06, S3: -0.13, S4: 0.56, S5: 0.63, S6: 0.44, S7: 0.38, S8: 0.44, S9: 0.56, S10: 0.38, S11: -0.31, S12: 1.00, S13: 0.75, S14: 0.06, S15: 0.00, S16: 0.06, S17: 0.69, S18: 0.00, S19: -0.06.
1757654519, Unidad: C°,S1: 0.63, S2: 0.13, S3: -0.06, S4: 0.56, S5: 0.56, S6: 0.44, S7: 0.44, S8: 0.38, S9: 0.50, S10: 0.38, S11: -0.25, S12: 1.00, S13: 0.75, S14: 0.06, S15: 0.00, S16: 0.06, S17: 0.75, S18: 0.00, S19: -0.06.
1757654579, Unidad: C°,S1: 0.56, S2: 0.06, S3: -0.06, S4: 0.56, S5: 0.63, S6: 0.50, S7: 0.44, S8: 0.38, S9: 0.56, S10: 0.31, S11: -0.25, S12: 1.00, S13: 0.75, S14: 0.13, S15: 0.00, S16: 0.06, S17: 0.75, S18: 0.00, S19: -0.06.
1757654639, Unidad: C°,S1: 0.63, S2: 0.06, S3: -0.06, S4: 0.50, S5: 0.63, S6: 0.44, S7: 0.44, S8: 0.38, S9: 0.56, S10: 0.38, S11: -0.25, S12: 1.00, S13: 0.75, S14: 0.13, S15: 0.00, S16: 0.06, S17: 0.75, S18: 0.00, S19: -0.06.
1757654699, Unidad: C°,S1: 0.56, S2: 0.06, S3: -0.06, S4: 0.56, S5: 0.63, S6: 0.44, S7: 0.44, S8: 0.38, S9: 0.50, S10: 0.31, S11: -0.31, S12: 1.00, S13: 0.75, S14: 0.06, S15: 0.06, S16: 0.00, S17: 0.75, S18: 0.00, S19: -0.06.
1757654759, Unidad: C°,S1: 0.69, S2: 0.06, S3: -0.06, S4: 0.56, S5: 0.56, S6: 0.50, S7: 0.44, S8: 0.38, S9: 0.56, S10: 0.31, S11: -0.31, S12: 1.00, S13: 0.81, S14: 0.13, S15: 0.00, S16: 0.06, S17: 0.75, S18: 0.00, S19: 0.00.
1757654819, Unidad: C°,S1: 0.63, S2: 0.06, S3: -0.13, S4: 0.50, S5: 0.63, S6: 0.44, S7: 0.44, S8: 0.38, S9: 0.63, S10: 0.38, S11: -0.31, S12: 1.00, S13: 0.81, S14: 0.13, S15: 0.06, S16: 0.06, S17: 0.75, S18: 0.00, S19: 0.00.
1757654879, Unidad: C°,S1: 0.75, S2: 0.06, S3: -0.13, S4: 0.56, S5: 0.63, S6: 0.44, S7: 0.44, S8: 0.38, S9: 0.56, S10: 0.38, S11: -0.25, S12: 1.00, S13: 0.81, S14: 0.13, S15: 0.06, S16: 0.06, S17: 0.75, S18: 0.00, S19: -0.06.
1757654939, Unidad: C°,S1: 0.69, S2: 0.06, S3: -0.13, S4: 0.56, S5: 0.63, S6: 0.44, S7: 0.44, S8: 0.38, S9: 0.56, S10: 0.31, S11: -0.25, S12: 1.00, S13: 0.81, S14: 0.13, S15: 0.00, S16: 0.06, S17: 0.75, S18: 0.00, S19: -0.06.
1757654999, Unidad: C°,S1: 0.69, S2: 0.13, S3: -0.06, S4: 0.56, S5: 0.56, S6: 0.50, S7: 0.44, S8: 0.44, S9: 0.50, S10: 0.38, S11: -0.25, S12: 1.00, S13: 0.81, S14: 0.13, S15: 0.06, S16: 0.06, S17: 0.75, S18: 0.00, S19: -0.06.
1757655059, Unidad: C°,S1: 0.63, S2: 0.06, S3: -0.06, S4: 0.56, S5: 0.63, S6: 0.50, S7: 0.44, S8: 0.44, S9: 0.56, S10: 0.38, S11: -0.25, S12: 1.00, S13: 0.81, S14: 0.13, S15: 0.00, S16: 0.06, S17: 0.81, S18: 0.00, S19: 0.00.
1757655119, Unidad: C°,S1: 0.56, S2: 0.06, S3: -0.13, S4: 0.56, S5: 0.63, S6: 0.56, S7: 0.44, S8: 0.44, S9: 0.56, S10: 0.38, S11: -0.25, S12: 1.00, S13: 0.81, S14: 0.13, S15: 0.06, S16: 0.06, S17: 0.81, S18: 0.00, S19: -0.06.
1757655179, Unidad: C°,S1: 0.63, S2: 0.06, S3: -0.06, S4: 0.50, S5: 0.63, S6: 0.50, S7: 0.44, S8: 0.50, S9: 0.56, S10: 0.19, S11: -0.25, S12: 1.00, S13: 0.81, S14: 0.13, S15: 0.00, S16: 0.06, S17: 0.81, S18: 0.00, S19: -0.06.
1757655239, Unidad: C°,S1: 0.63, S2: 0.13, S3: -0.06, S4: 0.50, S5: 0.63, S6: 0.56, S7: 0.44, S8: 0.44, S9: 0.56, S10: 0.31, S11: -0.25, S12: 1.06, S13: 0.81, S14: 0.13, S15: 0.00, S16: 0.06, S17: 0.81, S18: 0.00, S19: 0.00.
1757655299, Unidad: C°,S1: 0.69, S2: 0.06, S3: -0.06, S4: 0.50, S5: 0.63, S6: 0.50, S7: 0.44, S8: 0.44, S9: 0.56, S10: 0.31, S11: -0.31, S12: 1.06, S13: 0.81, S14: 0.13, S15: 0.06, S16: 0.06, S17: 0.81, S18: 0.00, S19: 0.00.
1757655359, Unidad: C°,S1: 0.69, S2: 0.13, S3: -0.06, S4: 0.50, S5: 0.63, S6: 0.50, S7: 0.44, S8: 0.44, S9: 0.56, S10: 0.38, S11: -0.25, S12: 1.06, S13: 0.81, S14: 0.13, S15: 0.00, S16: 0.06, S17: 0.81, S18: 0.00, S19: -0.06.
1757655419, Unidad: C°,S1: 0.63, S2: 0.13, S3: -0.06, S4: 0.50, S5: 0.69, S6: 0.50, S7: 0.44, S8: 0.44, S9: 0.56, S10: 0.38, S11: -0.25, S12: 1.06, S13: 0.81, S14: 0.13, S15: 0.06, S16: 0.06, S17: 0.81, S18: 0.00, S19: 0.00.
1757655479, Unidad: C°,S1: 0.75, S2: 0.06, S3: 0.00, S4: 0.56, S5: 0.63, S6: 0.50, S7: 0.44, S8: 0.44, S9: 0.56, S10: 0.38, S11: -0.25, S12: 1.06, S13: 0.88, S14: 0.13, S15: 0.00, S16: 0.06, S17: 0.81, S18: 0.00, S19: 0.00.
1757655539, Unidad: C°,S1: 0.69, S2: 0.13, S3: -0.06, S4: 0.50, S5: 0.63, S6: 0.50, S7: 0.44, S8: 0.44, S9: 0.63, S10: 0.38, S11: -0.25, S12: 1.06, S13: 0.88, S14: 0.13, S15: 0.00, S16: 0.06, S17: 0.81, S18: 0.00, S19: -0.06.
1757655599, Unidad: C°,S1: 0.69, S2: 0.13, S3: 0.00, S4: 0.50, S5: 0.63, S6: 0.50, S7: 0.44, S8: 0.44, S9: 0.56, S10: 0.19, S11: -0.25, S12: 1.06, S13: 0.88, S14: 0.13, S15: 0.06, S16: 0.06, S17: 0.81, S18: 0.00, S19: 0.00.
1757655659, Unidad: C°,S1: 0.75, S2: 0.06, S3: -0.06, S4: 0.50, S5: 0.69, S6: 0.56, S7: 0.38, S8: 0.50, S9: 0.63, S10: 0.38, S11: -0.25, S12: 1.06, S13: 0.88, S14: 0.13, S15: 0.06, S16: 0.06, S17: 0.81, S18: 0.00, S19: 0.00.
1757655719, Unidad: C°,S1: 0.75, S2: 0.06, S3: -0.06, S4: 0.56, S5: 0.63, S6: 0.56, S7: 0.44, S8: 0.50, S9: 0.56, S10: 0.38, S11: -0.31, S12: 1.06, S13: 0.88, S14: 0.13, S15: 0.06, S16: 0.06, S17: 0.88, S18: 0.00, S19: 0.00.
