# Inicio: 2025-09-16 08:00:00; Duracion: 1440 min
1757998859, Unidad: C°,S1: 17.50, S2: 17.63, S3: 17.69, S4: 17.94, S5: 17.69, S6: 17.75, S7: 17.94, S8: 17.88, S9: 17.63, S10: 17.75, S11: 17.44, S12: 17.75, S13: 17.63, S14: 17.75, S15: 17.63, S16: 17.56, S17: 17.50, S18: 17.63, S19: 17.56.
1757998919, Unidad: C°,S1: 17.63, S2: 17.63, S3: 17.63, S4: 17.94, S5: 17.75, S6: 17.75, S7: 17.94, S8: 17.88, S9: 17.63, S10: 17.88, S11: 17.44, S12: 17.75, S13: 17.63, S14: 17.75, S15: 17.63, S16: 17.56, S17: 17.50, S18: 17.63, S19: 17.56.
1757998979, Unidad: C°,S1: 17.63, S2: 17.63, S3: 17.69, S4: 17.88, S5: 17.69, S6: 17.75, S7: 17.88, S8: 17.88, S9: 17.63, S10: 17.88, S11: 17.44, S12: 17.75, S13: 17.63, S14: 17.75, S15: 17.63, S16: 17.56, S17: 17.50, S18: 17.63, S19: 17.56.
1757999039, Unidad: C°,S1: 17.56, S2: 17.63, S3: 17.63, S4: 17.94, S5: 17.69, S6: 17.75, S7: 17.94, S8: 17.88, S9: 17.56, S10: 17.69, S11: 17.44, S12: 17.75, S13: 17.63, S14: 17.75, S15: 17.63, S16: 17.56, S17: 17.50, S18: 17.63, S19: 17.56.
1757999099, Unidad: C°,S1: 17.56, S2: 17.63, S3: 17.63, S4: 17.88, S5: 17.75, S6: 17.75, S7: 17.88, S8: 17.88, S9: 17.56, S10: 17.75, S11: 17.44, S12: 17.75, S13: 17.63, S14: 17.75, S15: 17.63, S16: 17.56, S17: 17.50, S18: 17.63, S19: 17.56.
1757999159, Unidad: C°,S1: 17.56, S2: 17.63, S3: 17.69, S4: 17.94, S5: 17.69, S6: 17.75, S7: 17.94, S8: 17.88, S9: 17.63, S10: 17.88, S11: 17.44, S12: 17.69, S13: 17.63, S14: 17.75, S15: 17.63, S16: 17.56, S17: 17.50, S18: 17.63, S19: 17.56.
1757999219, Unidad: C°,S1: 17.63, S2: 17.63, S3: 17.69, S4: 17.94, S5: 17.69, S6: 17.75, S7: 17.94, S8: 17.88, S9: 17.63, S10: 17.88, S11: 17.44, S12: 17.69, S13: 17.63, S14: 17.75, S15: 17.63, S16: 17.56, S17: 17.50, S18: 17.63, S19: 17.56.
1757999279, Unidad: C°,S1: 17.63, S2: 17.56, S3: 17.63, S4: 17.94, S5: 17.75, S6: 17.75, S7: 17.94, S8: 17.88, S9: 17.63, S10: 17.75, S11: 17.44, S12: 17.75, S13: 17.63, S14: 17.75, S15: 17.63, S16: 17.56, S17: 17.50, S18: 17.56, S19: 17.56.
1757999339, Unidad: C°,S1: 17.56, S2: 17.56, S3: 17.63, S4: 17.88, S5: 17.69, S6: 17.75, S7: 17.94, S8: 17.88, S9: 17.63, S10: 17.88, S11: 17.44, S12: 17.75, S13: 17.63, S14: 17.75, S15: 17.63, S16: 17.56, S17: 17.50, S18: 17.56, S19: 17.56.
1757999399, Unidad: C°,S1: 17.63, S2: 17.56, S3: 17.63, S4: 17.88, S5: 17.69, S6: 17.75, S7: 17.88, S8: 17.81, S9: 17.63, S10: 17.75, S11: 17.44, S12: 17.75, S13: 17.63, S14: 17.75, S15: 17.63, S16: 17.56, S17: 17.50, S18: 17.63, S19: 17.56.
1757999459, Unidad: C°,S1: 17.56, S2: 17.56, S3: 17.63, S4: 17.94, S5: 17.69, S6: 17.75, S7: 17.94, S8: 17.88, S9: 17.63, S10: 17.88, S11: 17.44, S12: 17.69, S13: 17.63, S14: 17.75, S15: 17.63, S16: 17.56, S17: 17.50, S18: 17.63, S19: 17.56.
